ID,Code,Name,Location,Latitude,Longitude,Capacity,RecentPoint,Dist,CWB,TWC,OWM
solar_寶山,solar_寶山,彰師大寶山,彰化縣 彰化市,24.06531,120.55765,,467490,,,,
solar_汙水廠,solar_汙水廠,彰師大汙水廠,彰化縣 彰化市,24.066583,120.560722,9.7,467490,,14,18,18

