TIME_TO_INTERVAL,date,hour,Power,Radiation,ClearSkyRadiation,Radiation(SDv3)(CWB),Radiation(SDv3)(TWC),Radiation(SDv3)(OWM),Radiation(SDv3)(MSM),Radiation(today)(CWB),Radiation(today)(IBM),Radiation(today)(OWM),minute,pre_Power_15,pre_Radiation_15,pre_Power_30,Radiation_0,pre_Power_45,next_Radiation_15
2022-08-22 18:15:00,2022-08-22,18,0.029722222222222493,0.005555555555555557,0.0025978670000000002,0.006078122417404132,0.0038253952622969343,0.0059148018671589505,0.00799,0.006078122417404132,0.0038253952622969343,0.0059148018671589505,15,0.029711111111111382,0.006078122417404132,0.09947777777777796,0.006078122417404132,0.2466444444444421,0.006078122417404132
2022-08-22 18:30:00,2022-08-22,18,0.029977777777778068,0.005555555555555557,0.0025978670000000002,0.006078122417404132,0.0038253952622969343,0.0059148018671589505,0.00799,0.006078122417404132,0.0038253952622969343,0.0059148018671589505,30,0.029722222222222493,0.006078122417404132,0.029711111111111382,0.006078122417404132,0.09947777777777796,0.006078122417404132
2022-08-22 18:45:00,2022-08-22,18,0.029977777777778075,0.005555555555555557,0.0025978670000000002,0.006078122417404132,0.0038253952622969343,0.0059148018671589505,0.00799,0.006078122417404132,0.0038253952622969343,0.0059148018671589505,45,0.029977777777778068,0.006078122417404132,0.029722222222222493,0.006078122417404132,0.029711111111111382,0.0
2022-08-22 19:00:00,2022-08-22,19,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.029977777777778075,0.006078122417404132,0.029977777777778068,0.0,0.029722222222222493,0.0
2022-08-22 19:15:00,2022-08-22,19,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.029977777777778075,0.0,0.029977777777778068,0.0
2022-08-22 19:30:00,2022-08-22,19,0.02824444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.029977777777778075,0.0
2022-08-22 19:45:00,2022-08-22,19,0.023555555555555385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.02824444444444446,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-08-22 20:00:00,2022-08-22,20,0.022888888888888653,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0,0.023555555555555385,0.0,0.02824444444444446,0.0,0.030000000000000294,0.0
2022-08-22 20:15:00,2022-08-22,20,0.023066666666666468,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,15,0.022888888888888653,0.0,0.023555555555555385,0.0,0.02824444444444446,0.0
2022-08-22 20:30:00,2022-08-22,20,0.0242444444444443,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,30,0.023066666666666468,0.0,0.022888888888888653,0.0,0.023555555555555385,0.0
2022-08-22 20:45:00,2022-08-22,20,0.029966666666666964,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,45,0.0242444444444443,0.0,0.023066666666666468,0.0,0.022888888888888653,0.0
2022-08-22 21:00:00,2022-08-22,21,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.029966666666666964,0.0,0.0242444444444443,0.0,0.023066666666666468,0.0
2022-08-22 21:15:00,2022-08-22,21,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.029966666666666964,0.0,0.0242444444444443,0.0
2022-08-22 21:30:00,2022-08-22,21,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.029966666666666964,0.0
2022-08-22 21:45:00,2022-08-22,21,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-08-22 22:00:00,2022-08-22,22,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-08-22 22:15:00,2022-08-22,22,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-08-22 22:30:00,2022-08-22,22,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-08-22 22:45:00,2022-08-22,22,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-08-22 23:00:00,2022-08-22,23,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-08-22 23:15:00,2022-08-22,23,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-08-22 23:30:00,2022-08-22,23,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-08-22 23:45:00,2022-08-22,23,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-08-23 00:00:00,2022-08-23,0,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-23 00:15:00,2022-08-23,0,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.0,0.0,0.0,0.0
2022-08-23 00:30:00,2022-08-23,0,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.0,0.0
2022-08-23 00:45:00,2022-08-23,0,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-08-23 01:00:00,2022-08-23,1,0.029977777777778068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
