,Date,Hour,Current,Frequency,Voltage,kP,kQ,TIME_TO_INTERVAL
0,2022-02-27,0,,,,0.030000000000000925,,2022-02-27 00:00:00
1,2022-02-27,1,,,,0.030000000000000925,,2022-02-27 01:00:00
2,2022-02-27,2,,,,0.030000000000000925,,2022-02-27 02:00:00
3,2022-02-27,3,,,,0.030000000000000925,,2022-02-27 03:00:00
4,2022-02-27,4,,,,0.029666666666667577,,2022-02-27 04:00:00
5,2022-02-27,5,,,,0.02857500000000059,,2022-02-27 05:00:00
6,2022-02-27,6,,,,0.17227222222222183,,2022-02-27 06:00:00
7,2022-02-27,7,,,,1.883819444444446,,2022-02-27 07:00:00
8,2022-02-27,8,,,,4.012041666666691,,2022-02-27 08:00:00
9,2022-02-27,9,,,,5.6050722222221765,,2022-02-27 09:00:00
10,2022-02-27,10,,,,6.5785611111111235,,2022-02-27 10:00:00
11,2022-02-27,11,,,,7.249836111111167,,2022-02-27 11:00:00
12,2022-02-27,12,,,,7.472419444444503,,2022-02-27 12:00:00
13,2022-02-27,13,,,,6.953713888888813,,2022-02-27 13:00:00
14,2022-02-27,14,,,,5.873513888888918,,2022-02-27 14:00:00
15,2022-02-27,15,,,,4.168897222222195,,2022-02-27 15:00:00
16,2022-02-27,16,,,,1.3273805555555507,,2022-02-27 16:00:00
17,2022-02-27,17,,,,0.23939166666665992,,2022-02-27 17:00:00
18,2022-02-27,18,,,,0.025144444444445063,,2022-02-27 18:00:00
19,2022-02-27,19,,,,0.02998888888888981,,2022-02-27 19:00:00
20,2022-02-27,20,,,,0.030000000000000925,,2022-02-27 20:00:00
21,2022-02-27,21,,,,0.029208333333334228,,2022-02-27 21:00:00
22,2022-02-27,22,,,,0.029841666666667585,,2022-02-27 22:00:00
23,2022-02-27,23,,,,0.02995000000000092,,2022-02-27 23:00:00
24,2022-03-18,0,,,,0.030000000000000925,,2022-03-18 00:00:00
25,2022-03-18,1,,,,0.030000000000000925,,2022-03-18 01:00:00
26,2022-03-18,2,,,,0.029700000000000913,,2022-03-18 02:00:00
27,2022-03-18,3,,,,0.02995000000000092,,2022-03-18 03:00:00
28,2022-03-18,4,,,,0.029983333333334257,,2022-03-18 04:00:00
29,2022-03-18,5,,,,0.030000000000000925,,2022-03-18 05:00:00
30,2022-03-18,6,,,,0.16456111111110844,,2022-03-18 06:00:00
31,2022-03-18,7,,,,1.7518111111111074,,2022-03-18 07:00:00
32,2022-03-18,8,,,,2.900563888888894,,2022-03-18 08:00:00
33,2022-03-18,9,,,,2.5219472222222055,,2022-03-18 09:00:00
34,2022-03-18,10,,,,3.137775000000009,,2022-03-18 10:00:00
35,2022-03-18,11,,,,4.035672222222221,,2022-03-18 11:00:00
36,2022-03-18,12,,,,5.80913055555554,,2022-03-18 12:00:00
37,2022-03-18,13,,,,6.69939444444446,,2022-03-18 13:00:00
38,2022-03-18,14,,,,5.5912527777778065,,2022-03-18 14:00:00
39,2022-03-18,15,,,,3.783638888888888,,2022-03-18 15:00:00
40,2022-03-18,16,,,,1.9252222222222244,,2022-03-18 16:00:00
41,2022-03-18,17,,,,0.3973555555555581,,2022-03-18 17:00:00
42,2022-03-18,18,,,,0.029888888888889815,,2022-03-18 18:00:00
43,2022-03-18,19,,,,0.030000000000000925,,2022-03-18 19:00:00
44,2022-03-18,20,,,,0.030000000000000925,,2022-03-18 20:00:00
45,2022-03-18,21,,,,0.030000000000000925,,2022-03-18 21:00:00
