TIME_TO_INTERVAL,Current,Frequency,Voltage,kP,kQ
2022-02-27 15:15:00+00:00,,,,0.030000000000000297,
2022-02-27 15:30:00+00:00,,,,0.030000000000000297,
2022-02-27 15:45:00+00:00,,,,0.030000000000000297,
2022-02-27 16:00:00+00:00,,,,,
2022-02-27 16:15:00+00:00,,,,,
2022-02-27 16:30:00+00:00,,,,,
2022-02-27 16:45:00+00:00,,,,,
2022-02-27 17:00:00+00:00,,,,,
2022-02-27 17:15:00+00:00,,,,,
2022-02-27 17:30:00+00:00,,,,,
2022-02-27 17:45:00+00:00,,,,,
2022-02-27 18:00:00+00:00,,,,,
2022-02-27 18:15:00+00:00,,,,,
2022-02-27 18:30:00+00:00,,,,,
2022-02-27 18:45:00+00:00,,,,,
2022-02-27 19:00:00+00:00,,,,,
2022-02-27 19:15:00+00:00,,,,,
2022-02-27 19:30:00+00:00,,,,,
2022-02-27 19:45:00+00:00,,,,,
2022-02-27 20:00:00+00:00,,,,,
2022-02-27 20:15:00+00:00,,,,,
2022-02-27 20:30:00+00:00,,,,,
2022-02-27 20:45:00+00:00,,,,,
2022-02-27 21:00:00+00:00,,,,,
2022-02-27 21:15:00+00:00,,,,,
2022-02-27 21:30:00+00:00,,,,,
2022-02-27 21:45:00+00:00,,,,,
2022-02-27 22:00:00+00:00,,,,,
2022-02-27 22:15:00+00:00,,,,,
2022-02-27 22:30:00+00:00,,,,,
2022-02-27 22:45:00+00:00,,,,,
2022-02-27 23:00:00+00:00,,,,,
2022-02-27 23:15:00+00:00,,,,,
2022-02-27 23:30:00+00:00,,,,,
2022-02-27 23:45:00+00:00,,,,,
2022-02-28 00:00:00+00:00,,,,,
2022-02-28 00:15:00+00:00,,,,,
2022-02-28 00:30:00+00:00,,,,,
2022-02-28 00:45:00+00:00,,,,,
2022-02-28 01:00:00+00:00,,,,,
2022-02-28 01:15:00+00:00,,,,,
2022-02-28 01:30:00+00:00,,,,,
2022-02-28 01:45:00+00:00,,,,,
2022-02-28 02:00:00+00:00,,,,,
2022-02-28 02:15:00+00:00,,,,,
2022-02-28 02:30:00+00:00,,,,,
2022-02-28 02:45:00+00:00,,,,,
2022-02-28 03:00:00+00:00,,,,,
2022-02-28 03:15:00+00:00,,,,,
2022-02-28 03:30:00+00:00,,,,,
2022-02-28 03:45:00+00:00,,,,,
2022-02-28 04:00:00+00:00,,,,,
2022-02-28 04:15:00+00:00,,,,,
2022-02-28 04:30:00+00:00,,,,,
