index,expDate,model,domain,level,variable,lat,lng,obsDay,fHour,data,TIME_TO_INTERVAL,hour,date,Date,ForecastBeforeDays
2021042007,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,377.86,2021-04-20 07:0:00,7,2021-04-20,2021-04-20,-1 days
2021042008,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,609.45,2021-04-20 08:0:00,8,2021-04-20,2021-04-20,-1 days
2021042009,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,788.22,2021-04-20 09:0:00,9,2021-04-20,2021-04-20,-1 days
2021042010,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,922.3,2021-04-20 10:0:00,10,2021-04-20,2021-04-20,-1 days
2021042011,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,385.98,2021-04-20 11:0:00,11,2021-04-20,2021-04-20,-1 days
2021042012,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,260.03,2021-04-20 12:0:00,12,2021-04-20,2021-04-20,-1 days
2021042013,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,930.43,2021-04-20 13:0:00,13,2021-04-20,2021-04-20,-1 days
2021042014,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,808.54,2021-04-20 14:0:00,14,2021-04-20,2021-04-20,-1 days
2021042015,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,613.51,2021-04-20 15:0:00,15,2021-04-20,2021-04-20,-1 days
2021042016,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,390.05,2021-04-20 16:0:00,16,2021-04-20,2021-04-20,-1 days
2021042017,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,150.33,2021-04-20 17:0:00,17,2021-04-20,2021-04-20,-1 days
2021042018,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,4.06,2021-04-20 18:0:00,18,2021-04-20,2021-04-20,-1 days
2021042019,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-20 19:0:00,19,2021-04-20,2021-04-20,-1 days
2021042020,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-20 20:0:00,20,2021-04-20,2021-04-20,-1 days
2021042021,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-20 21:0:00,21,2021-04-20,2021-04-20,-1 days
2021042022,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-20 22:0:00,22,2021-04-20,2021-04-20,-1 days
2021042023,2021-04-21,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-20 23:0:00,23,2021-04-20,2021-04-20,-1 days
2021042100,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-21 00:0:00,0,2021-04-21,2021-04-21,-1 days
2021042101,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-21 01:0:00,1,2021-04-21,2021-04-21,-1 days
2021042102,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-21 02:0:00,2,2021-04-21,2021-04-21,-1 days
2021042103,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-21 03:0:00,3,2021-04-21,2021-04-21,-1 days
2021042104,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-21 04:0:00,4,2021-04-21,2021-04-21,-1 days
2021042105,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,4.06,2021-04-21 05:0:00,5,2021-04-21,2021-04-21,-1 days
2021042106,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,142.07,2021-04-21 06:0:00,6,2021-04-21,2021-04-21,-1 days
2021042107,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,381.55,2021-04-21 07:0:00,7,2021-04-21,2021-04-21,-1 days
